103.315736	794.605899	0.000000	377.284460	-0.102310	-0.001874
103.351623	794.605917	0.000000	377.284452	-0.052092	-0.001874
102.211522	794.605944	40810.000000	377.284439	-0.094584	-0.001874
103.260645	794.605950	41010.000000	377.284437	-0.094584	-0.001874
99.429395	794.605976	42450.000000	377.284424	-0.095872	-0.000587
99.275353	794.605989	40530.000000	377.284418	-0.095872	-0.000587
99.926377	794.605989	40530.000000	377.284418	-0.097159	-0.001874
101.596105	794.605990	41310.000000	377.284417	-0.093296	-0.001874
101.639697	794.605989	41080.000000	377.284418	-0.095872	-0.001874
102.077787	794.605989	41670.000000	377.284418	-0.095872	-0.001874
100.487302	794.606002	43460.000000	377.284412	-0.095872	-0.001874
100.890160	794.606117	38030.000000	377.284357	-0.095872	-0.001874
101.434969	794.606308	31940.000000	377.284266	-0.095872	-0.001874
100.465118	794.606346	25310.000000	377.284249	-0.095872	-0.000587
98.842611	794.606376	27740.000000	377.284234	-0.097159	-0.000587
99.922927	794.606372	28880.000000	377.284236	-0.095872	-0.000587
101.200914	794.606376	29530.000000	377.284234	-0.095872	-0.000587
100.332081	794.606392	30310.000000	377.284226	-0.094584	-0.001874
99.320321	794.606368	30940.000000	377.284238	-0.095872	-0.001874
100.913225	794.606362	28890.000000	377.284241	-0.095872	-0.001874
100.016739	794.606392	27710.000000	377.284227	-0.095872	-0.000587
100.355064	794.606382	30620.000000	377.284231	-0.095872	-0.001874
101.894507	794.606422	31030.000000	377.284212	-0.095872	-0.001874
101.048645	794.606502	34370.000000	377.284174	-0.094584	-0.000587
101.653809	794.606609	40650.000000	377.284124	-0.095872	-0.000587
99.310368	794.606624	44230.000000	377.284116	-0.095872	-0.001874
97.864164	794.606631	44890.000000	377.284113	-0.095872	-0.001874
97.336436	794.606636	45570.000000	377.284111	-0.095872	-0.001874
100.367901	794.606644	46130.000000	377.284107	-0.094584	-0.001874
102.468979	794.606667	44770.000000	377.284096	-0.097159	-0.001874
100.917621	794.606725	45200.000000	377.284069	-0.095872	-0.001874
