292.898411	822.468856	0.000000	364.503113	0.007139
295.164296	822.468907	2630.000000	364.503090	0.007139
296.430502	822.468962	2536.000000	364.503065	0.005852
297.191849	822.469015	2492.000000	364.503042	-0.000587
294.879579	822.469069	2466.000000	364.503018	0.001989
295.133521	822.469139	2320.000000	364.502987	0.004564
296.294988	822.469221	1924.000000	364.502951	0.007139
298.972904	822.469271	1606.000000	364.502928	0.004564
296.378682	822.469332	1430.000000	364.502902	0.004564
295.197978	822.469384	1126.000000	364.502879	-0.000587
293.944743	822.469431	992.000000	364.502858	0.007139
295.733013	822.469488	906.000000	364.502833	0.001989
296.163880	822.469545	748.000000	364.502807	0.001989
296.116841	822.469608	626.000000	364.502779	0.007139
295.616724	822.469679	372.000000	364.502748	0.001989
296.077976	822.469736	286.000000	364.502723	0.003276
294.894682	822.469796	222.000000	364.502696	0.005852
298.769577	822.469849	142.000000	364.502673	0.003276
298.215048	822.469898	126.000000	364.502651	0.000701
297.620381	822.469950	92.000000	364.502628	0.003276
295.893526	822.470003	70.000000	364.502604	0.004564
297.266046	822.470071	76.000000	364.502574	-0.001874
297.249737	822.470131	50.000000	364.502547	-0.000587
297.432483	822.470192	52.000000	364.502521	0.007139
296.432688	822.470252	82.000000	364.502494	0.004564
298.303680	822.470212	58.000000	364.502512	0.000701
296.350398	822.470145	92.000000	364.502541	0.004564
296.631161	822.470080	56.000000	364.502570	-0.000587
295.060063	822.470027	64.000000	364.502593	0.007139
297.989703	822.469971	60.000000	364.502618	0.004564
300.597498	822.469918	98.000000	364.502642	0.005852
300.521459	822.469870	142.000000	364.502663	0.001989
300.463880	822.469825	146.000000	364.502683	0.007139
298.879985	822.469767	234.000000	364.502709	-0.003162
295.235396	822.469707	236.000000	364.502735	0.001989
297.359965	822.469641	350.000000	364.502765	-0.023764
298.281381	822.469575	496.000000	364.502794	-0.010888
296.205467	822.469517	630.000000	364.502820	-0.003162
294.478275	822.469465	794.000000	364.502843	0.007139
293.635006	822.469413	814.000000	364.502866	-0.003162
294.214463	822.469365	1046.000000	364.502887	0.004564
295.748638	822.469310	1248.000000	364.502912	-0.003162
297.257774	822.469249	1514.000000	364.502938	-0.005737
296.251623	822.469182	1692.000000	364.502968	-0.254251
295.548073	822.469108	2004.000000	364.503001	0.000701
295.775743	822.469050	2148.000000	364.503027	-0.001874
296.003117	822.468999	2374.000000	364.503049	-0.001874
297.115908	822.468952	2604.000000	364.503070	0.003276
295.652850	822.468898	2496.000000	364.503094	-0.001874
294.562062	822.468849	2584.000000	364.503116	0.004564
296.096627	822.468781	2632.000000	364.503146	0.001989
297.689207	822.468715	2596.000000	364.503175	0.005852
296.146613	822.468651	2656.000000	364.503203	0.005852
298.158456	822.468593	2230.000000	364.503229	0.007139
297.574691	822.468536	2128.000000	364.503254	0.008427
296.799233	822.468490	1870.000000	364.503275	0.003276
294.902139	822.468437	1640.000000	364.503298	0.007139
295.142606	822.468383	1448.000000	364.503322	0.003276
295.893274	822.468316	1218.000000	364.503352	-0.000587
293.374100	822.468244	996.000000	364.503384	0.001989
295.065659	822.468172	786.000000	364.503416	-0.003162
293.889781	822.468113	564.000000	364.503442	0.007139
295.630410	822.468058	424.000000	364.503466	0.005852
297.482271	822.468001	348.000000	364.503492	-0.001874
295.792453	822.467947	236.000000	364.503515	-0.001874
295.475005	822.467876	184.000000	364.503547	-0.001874
295.469408	822.467807	134.000000	364.503577	0.007139
295.095184	822.467737	114.000000	364.503608	0.004564
292.875889	822.467668	68.000000	364.503639	0.007139
295.115163	822.467606	70.000000	364.503666	0.004564
297.711406	822.467559	84.000000	364.503687	0.004564
296.479643	822.467500	72.000000	364.503714	0.007139
295.061809	822.467438	106.000000	364.503741	0.005852
294.062912	822.467377	74.000000	364.503768	-0.000587
293.242499	822.467303	46.000000	364.503801	0.001989
294.537322	822.467364	68.000000	364.503774	0.005852
295.193131	822.467421	26.000000	364.503749	0.004564
295.172556	822.467479	50.000000	364.503723	-0.001874
294.366799	822.467534	50.000000	364.503698	0.007139
293.293033	822.467586	52.000000	364.503676	0.003276
293.038839	822.467633	66.000000	364.503654	-0.000587
294.375754	822.467695	48.000000	364.503627	-0.001874
295.318519	822.467758	94.000000	364.503599	0.003276
295.633565	822.467834	100.000000	364.503565	0.000701
